,split_0,split_1,mean,std,min,max
worst texture,0.263181069777969,,0.263181069777969,0.0,0.0,0.263181069777969
worst area,0.08686110676346359,,0.08686110676346359,0.0,0.0,0.08686110676346359
radius error,0.08636462099065982,,0.08636462099065982,0.0,0.0,0.08636462099065982
worst radius,0.08323893713308124,,0.08323893713308124,0.0,0.0,0.08323893713308124
fractal dimension error,0.07935204385380319,,0.07935204385380319,0.0,0.0,0.07935204385380319
worst concave points,0.06272917613564395,,0.06272917613564395,0.0,0.0,0.06272917613564395
mean texture,0.018390997080074037,,0.018390997080074037,0.0,0.0,0.018390997080074037
worst fractal dimension,0.011641400829790077,,0.011641400829790077,0.0,0.0,0.011641400829790077
mean fractal dimension,0.008177465628315035,,0.008177465628315035,0.0,0.0,0.008177465628315035
mean area,0.005706641152707934,,0.005706641152707934,0.0,0.0,0.005706641152707934
worst perimeter,0.003920557607964353,,0.003920557607964353,0.0,0.0,0.003920557607964353
texture error,0.0028130796341506227,,0.0028130796341506227,0.0,0.0,0.0028130796341506227
mean perimeter,0.0,,0.0,0.0,0.0,0.0
mean smoothness,0.0,,0.0,0.0,0.0,0.0
mean compactness,0.0,,0.0,0.0,0.0,0.0
mean concavity,0.0,,0.0,0.0,0.0,0.0
mean concave points,0.0,,0.0,0.0,0.0,0.0
mean symmetry,0.0,,0.0,0.0,0.0,0.0
smoothness error,0.0,,0.0,0.0,0.0,0.0
perimeter error,0.0,,0.0,0.0,0.0,0.0
area error,0.0,,0.0,0.0,0.0,0.0
worst symmetry,0.0,,0.0,0.0,0.0,0.0
compactness error,0.0,,0.0,0.0,0.0,0.0
concavity error,0.0,,0.0,0.0,0.0,0.0
concave points error,0.0,,0.0,0.0,0.0,0.0
symmetry error,0.0,,0.0,0.0,0.0,0.0
worst smoothness,0.0,,0.0,0.0,0.0,0.0
worst compactness,0.0,,0.0,0.0,0.0,0.0
worst concavity,0.0,,0.0,0.0,0.0,0.0
mean radius,0.0,,0.0,0.0,0.0,0.0
