,split_0,split_1,mean,std,min,max
worst area,0.03520633287924946,0.2296089476778131,0.13240764027853127,0.09720130739928182,0.03520633287924946,0.2296089476778131
worst radius,0.19935298427678888,0.05669583715991951,0.1280244107183542,0.07132857355843468,0.05669583715991951,0.19935298427678888
worst concave points,0.11467035055295653,0.13820746215335267,0.1264389063531546,0.011768555800198068,0.011768555800198068,0.13820746215335267
radius error,0.09951465713431841,0.09209033595181593,0.09580249654306716,0.0037121605912512415,0.0037121605912512415,0.09951465713431841
worst texture,0.07285241963541499,0.023362049646325826,0.048107234640870404,0.02474518499454458,0.023362049646325826,0.07285241963541499
worst smoothness,0.013722624119017014,0.019168388452473942,0.016445506285745478,0.0027228821667284638,0.0027228821667284638,0.019168388452473942
worst symmetry,0.014760406748066933,0.013934328052918001,0.014347367400492467,0.0004130393475744662,0.0004130393475744662,0.014760406748066933
worst concavity,0.020279048248238514,0.007326563712949798,0.013802805980594156,0.006476242267644358,0.006476242267644358,0.020279048248238514
mean concave points,0.02363741756969522,0.0035657040502257613,0.01360156080996049,0.01003585675973473,0.0035657040502257613,0.02363741756969522
worst perimeter,0.010765897066566936,0.006422766912842966,0.00859433198970495,0.002171565076861985,0.002171565076861985,0.010765897066566936
smoothness error,0.011475245107880077,0.005215689236034512,0.008345467171957294,0.0031297779359227822,0.0031297779359227822,0.011475245107880077
concave points error,0.007424639697300886,0.008347799611514951,0.007886219654407918,0.0004615799571070327,0.0004615799571070327,0.008347799611514951
mean texture,0.005015203223082019,0.009751414354890487,0.007383308788986253,0.0023681055659042338,0.0023681055659042338,0.009751414354890487
mean fractal dimension,0.009328408372947548,0.004991935680547408,0.007160172026747478,0.00216823634620007,0.00216823634620007,0.009328408372947548
mean symmetry,0.004087525783783978,0.009621922985366356,0.006854724384575166,0.002767198600791189,0.002767198600791189,0.009621922985366356
mean radius,0.005876367513097555,0.007601537139848951,0.006738952326473253,0.000862584813375698,0.000862584813375698,0.007601537139848951
mean perimeter,0.005515518096584452,0.007446496512635826,0.006481007304610139,0.0009654892080256869,0.0009654892080256869,0.007446496512635826
mean area,0.008405065381481967,0.003942753400844249,0.006173909391163108,0.0022311559903188593,0.0022311559903188593,0.008405065381481967
mean smoothness,0.005073475884012075,0.00617933343689796,0.005626404660455018,0.0005529287764429423,0.0005529287764429423,0.00617933343689796
concavity error,0.006330851947835716,0.004854565397247739,0.005592708672541727,0.0007381432752939887,0.0007381432752939887,0.006330851947835716
mean compactness,0.005316536541898531,0.0049515527001678895,0.00513404462103321,0.00018249192086532053,0.00018249192086532053,0.005316536541898531
symmetry error,0.006184593130890601,0.0037540686043204836,0.004969330867605542,0.0012152622632850586,0.0012152622632850586,0.006184593130890601
fractal dimension error,0.002524876661579559,0.006116959795425705,0.004320918228502632,0.0017960415669230731,0.0017960415669230731,0.006116959795425705
worst compactness,0.005517378557223852,0.003115114729362241,0.004316246643293047,0.0012011319139308054,0.0012011319139308054,0.005517378557223852
area error,0.0060644712951076546,0.0024908235980309113,0.004277647446569283,0.0017868238485383716,0.0017868238485383716,0.0060644712951076546
worst fractal dimension,0.003183796110015141,0.005240814597544858,0.00421230535378,0.0010285092437648585,0.0010285092437648585,0.005240814597544858
texture error,0.005091537271792524,0.0018551206185122133,0.003473328945152369,0.0016182083266401556,0.0016182083266401556,0.005091537271792524
mean concavity,0.0038392118706428533,0.0028588283065446697,0.0033490200885937615,0.0004901917820490918,0.0004901917820490918,0.0038392118706428533
perimeter error,0.002569090030450728,0.0022120554977560574,0.0023905727641033926,0.00017851726634733524,0.00017851726634733524,0.002569090030450728
compactness error,0.0027069917592022876,0.0011448553329769734,0.0019259235460896305,0.0007810682131126571,0.0007810682131126571,0.0027069917592022876
