,split_0,split_1,mean,std,min,max
worst area,0.016164585478876628,0.10332383321736072,0.05974420934811867,0.043579623869242044,0.016164585478876628,0.10332383321736072
worst radius,0.0683163296432711,0.029281051012267127,0.04879869032776911,0.019517639315501985,0.019517639315501985,0.0683163296432711
radius error,0.039646642767052744,0.0358046906756771,0.03772566672136492,0.001920976045687823,0.001920976045687823,0.039646642767052744
worst concave points,0.031259770127273406,0.04141747262298221,0.036338621375127805,0.0050788512478544025,0.0050788512478544025,0.04141747262298221
worst texture,0.025571138672501326,0.007860998387885967,0.016716068530193647,0.00885507014230768,0.007860998387885967,0.025571138672501326
worst smoothness,0.005341160694125899,0.010016323611857276,0.007678742152991587,0.002337581458865688,0.002337581458865688,0.010016323611857276
worst perimeter,0.007482912183970975,0.0036486668866429635,0.0055657895353069696,0.0019171226486640058,0.0019171226486640058,0.007482912183970975
mean texture,0.0032532950950689586,0.007070286473166358,0.005161790784117658,0.0019084956890486997,0.0019084956890486997,0.007070286473166358
worst concavity,0.007958444691301789,0.002035394404515923,0.004996919547908856,0.002961525143392933,0.002035394404515923,0.007958444691301789
mean concave points,0.008041645935705078,0.0015937832246244803,0.004817714580164779,0.003223931355540299,0.0015937832246244803,0.008041645935705078
worst symmetry,0.0051829975721001025,0.003185581094971971,0.004184289333536036,0.0009987082385640657,0.0009987082385640657,0.0051829975721001025
fractal dimension error,0.006207104411093213,0.002034949897617681,0.004121027154355447,0.002086077256737766,0.002034949897617681,0.006207104411093213
mean perimeter,0.004294297947708285,0.0031617320919353634,0.003728015019821824,0.0005662829278864608,0.0005662829278864608,0.004294297947708285
mean area,0.0045223713715761655,0.0025662600276245657,0.0035443156996003656,0.0009780556719758,0.0009780556719758,0.0045223713715761655
mean concavity,0.003906765180054935,0.002993524161228337,0.003450144670641636,0.0004566205094132989,0.0004566205094132989,0.003906765180054935
compactness error,0.002944130880591379,0.003878290054450436,0.0034112104675209074,0.00046707958692952843,0.00046707958692952843,0.003878290054450436
mean radius,0.00341924501098057,0.0028109611733900374,0.003115103092185304,0.0003041419187952664,0.0003041419187952664,0.00341924501098057
texture error,0.0025782522830038374,0.0036026609953336824,0.0030904566391687597,0.0005122043561649225,0.0005122043561649225,0.0036026609953336824
mean compactness,0.0036101208729577687,0.0025356893255195135,0.003072905099238641,0.0005372157737191276,0.0005372157737191276,0.0036101208729577687
smoothness error,0.003939588742028317,0.0020074026768259765,0.002973495709427147,0.0009660930326011704,0.0009660930326011704,0.003939588742028317
symmetry error,0.0036695947032758104,0.0021724163556225643,0.0029210055294491876,0.000748589173826623,0.000748589173826623,0.0036695947032758104
concave points error,0.002056023361128753,0.003657074709121498,0.0028565490351251254,0.0008005256739963724,0.0008005256739963724,0.003657074709121498
mean smoothness,0.0031964591359079234,0.0022405850167321988,0.002718522076320061,0.0004779370595878623,0.0004779370595878623,0.0031964591359079234
area error,0.002120029569632707,0.0030878219304144635,0.0026039257500235853,0.00048389618039087817,0.00048389618039087817,0.0030878219304144635
mean fractal dimension,0.0034109883049037054,0.0017425314189435867,0.002576759861923646,0.0008342284429800593,0.0008342284429800593,0.0034109883049037054
worst compactness,0.002010160141829119,0.0030440898097358433,0.0025271249757824812,0.0005169648339533621,0.0005169648339533621,0.0030440898097358433
mean symmetry,0.0013727471621565413,0.003630955801506558,0.0025018514818315497,0.0011291043196750084,0.0011291043196750084,0.003630955801506558
worst fractal dimension,0.002512794263513897,0.002162553513729093,0.002337673888621495,0.000175120374892402,0.000175120374892402,0.002512794263513897
perimeter error,0.0029344098766045405,0.0016353186055702005,0.0022848642410873707,0.00064954563551717,0.00064954563551717,0.0029344098766045405
concavity error,0.0014412685601181525,0.002387805098333952,0.001914536829226052,0.0004732682691078997,0.0004732682691078997,0.002387805098333952
