,split_0,split_1,mean,std,min,max
worst symmetry,0.07967755051946887,0.06024145994469213,0.0699595052320805,0.009718045287388372,0.009718045287388372,0.07967755051946887
worst smoothness,0.04110426670450202,0.09128746467621987,0.06619586569036094,0.02509159898585893,0.02509159898585893,0.09128746467621987
worst concave points,0.05196602366453489,0.042480669906552436,0.047223346785543664,0.004742676878991228,0.004742676878991228,0.05196602366453489
mean concavity,0.08822534785148395,0.0,0.044112673925741974,0.044112673925741974,0.0,0.08822534785148395
fractal dimension error,0.08155504704930824,0.0,0.04077752352465412,0.04077752352465412,0.0,0.08155504704930824
compactness error,0.07805557275523742,0.0,0.03902778637761871,0.03902778637761871,0.0,0.07805557275523742
mean perimeter,0.06114072509843474,0.0099830831111627,0.03556190410479872,0.02557882099363602,0.0099830831111627,0.06114072509843474
perimeter error,0.045182906967721995,0.0074256948932258015,0.0263043009304739,0.018878606037248096,0.0074256948932258015,0.045182906967721995
worst perimeter,0.0,0.047285254878789554,0.023642627439394777,0.023642627439394777,0.0,0.047285254878789554
mean concave points,0.04423449739692534,0.0,0.02211724869846267,0.02211724869846267,0.0,0.04423449739692534
radius error,0.029872577663847644,0.01295117531479017,0.021411876489318908,0.008460701174528738,0.008460701174528738,0.029872577663847644
worst texture,0.007368233255196241,0.033062167315409965,0.020215200285303103,0.012846967030106862,0.007368233255196241,0.033062167315409965
concave points error,0.0,0.03420585420625048,0.01710292710312524,0.01710292710312524,0.0,0.03420585420625048
mean radius,0.0335662186741585,0.0,0.01678310933707925,0.01678310933707925,0.0,0.0335662186741585
mean symmetry,0.032520746320461376,0.0,0.016260373160230688,0.016260373160230688,0.0,0.032520746320461376
mean compactness,0.03244855944731565,0.0,0.016224279723657826,0.016224279723657826,0.0,0.03244855944731565
mean fractal dimension,0.024287788603811696,0.0,0.012143894301905848,0.012143894301905848,0.0,0.024287788603811696
concavity error,0.020577624931060842,0.0,0.010288812465530421,0.010288812465530421,0.0,0.020577624931060842
smoothness error,0.01848331475503234,0.0,0.00924165737751617,0.00924165737751617,0.0,0.01848331475503234
worst area,0.0,0.013327954949559233,0.006663977474779616,0.006663977474779616,0.0,0.013327954949559233
mean smoothness,0.009649587612081905,0.0,0.004824793806040953,0.004824793806040953,0.0,0.009649587612081905
mean texture,0.0022473360891835034,0.0,0.0011236680445917517,0.0011236680445917517,0.0,0.0022473360891835034
area error,0.0,0.0014386219466024767,0.0007193109733012383,0.0007193109733012383,0.0,0.0014386219466024767
texture error,0.0,0.0,0.0,0.0,0.0,0.0
symmetry error,0.0,0.0,0.0,0.0,0.0,0.0
worst radius,0.0,0.0,0.0,0.0,0.0,0.0
worst compactness,0.0,0.0,0.0,0.0,0.0,0.0
mean area,0.0,0.0,0.0,0.0,0.0,0.0
worst concavity,0.0,0.0,0.0,0.0,0.0,0.0
worst fractal dimension,0.0,0.0,0.0,0.0,0.0,0.0
