,split_0,split_1,mean,std,min,max
worst concave points,0.019696792751725832,0.017470554379972802,0.018583673565849317,0.0011131191858765148,0.0011131191858765148,0.019696792751725832
radius error,0.019788155804182698,0.016718495659589497,0.018253325731886098,0.0015348300722966002,0.0015348300722966002,0.019788155804182698
worst radius,0.014016368521003126,0.0216109805993379,0.017813674560170512,0.0037973060391673875,0.0037973060391673875,0.0216109805993379
worst perimeter,0.01312664410702962,0.01814564313854048,0.01563614362278505,0.0025094995157554307,0.0025094995157554307,0.01814564313854048
worst area,0.01093106332593165,0.017257558624956995,0.014094310975444321,0.003163247649512673,0.003163247649512673,0.017257558624956995
perimeter error,0.013098285489518628,0.013686996886428581,0.013392641187973606,0.00029435569845497663,0.00029435569845497663,0.013686996886428581
mean concavity,0.014543692129500045,0.011714881803464264,0.013129286966482155,0.0014144051630178905,0.0014144051630178905,0.014543692129500045
worst texture,0.015279262842705081,0.01024344955524991,0.012761356198977496,0.0025179066437275854,0.0025179066437275854,0.015279262842705081
mean concave points,0.013846793091737806,0.01065069629064759,0.0122487446911927,0.0015980484005451078,0.0015980484005451078,0.013846793091737806
mean radius,0.008544036510068326,0.015863781822725014,0.01220390916639667,0.003659872656328344,0.003659872656328344,0.015863781822725014
mean area,0.008326176914242698,0.014718717629930097,0.011522447272086397,0.0031962703578436993,0.0031962703578436993,0.014718717629930097
worst symmetry,0.007110737940807455,0.01523049890848853,0.011170618424647992,0.004059880483840537,0.004059880483840537,0.01523049890848853
worst smoothness,0.009598237710903486,0.012628542769560526,0.011113390240232005,0.00151515252932852,0.00151515252932852,0.012628542769560526
worst concavity,0.01138391071551726,0.010584594075706857,0.010984252395612059,0.00039965831990520194,0.00039965831990520194,0.01138391071551726
area error,0.01065028561044605,0.01041652823616256,0.010533406923304305,0.00011687868714174536,0.00011687868714174536,0.01065028561044605
mean perimeter,0.01059259663282938,0.010228084597572646,0.010410340615201012,0.00018225601762836708,0.00018225601762836708,0.01059259663282938
mean texture,0.008727221434967866,0.009928107833390536,0.009327664634179202,0.0006004431992113349,0.0006004431992113349,0.009928107833390536
worst fractal dimension,0.007831799169972321,0.0064864973204283175,0.007159148245200319,0.0006726509247720019,0.0006726509247720019,0.007831799169972321
mean symmetry,0.008645380642716747,0.005018041770267233,0.00683171120649199,0.0018136694362247572,0.0018136694362247572,0.008645380642716747
compactness error,0.009575156247279287,0.003937618158529971,0.006756387202904629,0.002818769044374658,0.002818769044374658,0.009575156247279287
texture error,0.0044685429192962344,0.00873576351974819,0.006602153219522212,0.0021336103002259775,0.0021336103002259775,0.00873576351974819
symmetry error,0.008454657580971995,0.004282516714595752,0.006368587147783874,0.002086070433188122,0.002086070433188122,0.008454657580971995
mean smoothness,0.003048723977391153,0.00753234567513737,0.005290534826264261,0.0022418108488731084,0.0022418108488731084,0.00753234567513737
mean fractal dimension,0.005688055604711162,0.004665574575280469,0.005176815089995816,0.0005112405147153468,0.0005112405147153468,0.005688055604711162
mean compactness,0.005184101111975127,0.0048018197619370566,0.004992960436956092,0.00019114067501903526,0.00019114067501903526,0.005184101111975127
smoothness error,0.005455266468245824,0.004363276736318982,0.0049092716022824025,0.0005459948659634214,0.0005459948659634214,0.005455266468245824
concave points error,0.006229756156714581,0.003430365740737754,0.004830060948726168,0.0013996952079884134,0.0013996952079884134,0.006229756156714581
fractal dimension error,0.0051041193107420205,0.0034172786525078595,0.00426069898162494,0.0008434203291170805,0.0008434203291170805,0.0051041193107420205
concavity error,0.0047223702151195975,0.003291206831114397,0.0040067885231169975,0.0007155816920026003,0.0007155816920026003,0.0047223702151195975
worst compactness,0.004239654916655516,0.0035664409064990435,0.0039030479115772796,0.0003366070050782363,0.0003366070050782363,0.004239654916655516
