,split_0,split_1,mean,std,min,max
worst texture,0.1735808624635482,,0.1735808624635482,0.0,0.0,0.1735808624635482
mean texture,0.1299759945842967,,0.1299759945842967,0.0,0.0,0.1299759945842967
mean symmetry,0.08643244916671686,,0.08643244916671686,0.0,0.0,0.08643244916671686
worst concavity,0.05702897964349667,,0.05702897964349667,0.0,0.0,0.05702897964349667
perimeter error,0.05285701020199765,,0.05285701020199765,0.0,0.0,0.05285701020199765
mean concavity,0.03841268846507109,,0.03841268846507109,0.0,0.0,0.03841268846507109
worst symmetry,0.03592750797813135,,0.03592750797813135,0.0,0.0,0.03592750797813135
mean fractal dimension,0.03443476581731424,,0.03443476581731424,0.0,0.0,0.03443476581731424
radius error,0.02468378943250623,,0.02468378943250623,0.0,0.0,0.02468378943250623
worst area,0.024535486914611007,,0.024535486914611007,0.0,0.0,0.024535486914611007
symmetry error,0.0242899340931051,,0.0242899340931051,0.0,0.0,0.0242899340931051
worst radius,0.023255427343311517,,0.023255427343311517,0.0,0.0,0.023255427343311517
worst fractal dimension,0.020033339870445255,,0.020033339870445255,0.0,0.0,0.020033339870445255
mean compactness,0.0,,0.0,0.0,0.0,0.0
mean concave points,0.0,,0.0,0.0,0.0,0.0
mean smoothness,0.0,,0.0,0.0,0.0,0.0
mean area,0.0,,0.0,0.0,0.0,0.0
mean perimeter,0.0,,0.0,0.0,0.0,0.0
smoothness error,0.0,,0.0,0.0,0.0,0.0
texture error,0.0,,0.0,0.0,0.0,0.0
area error,0.0,,0.0,0.0,0.0,0.0
compactness error,0.0,,0.0,0.0,0.0,0.0
concavity error,0.0,,0.0,0.0,0.0,0.0
concave points error,0.0,,0.0,0.0,0.0,0.0
fractal dimension error,0.0,,0.0,0.0,0.0,0.0
worst perimeter,0.0,,0.0,0.0,0.0,0.0
worst smoothness,0.0,,0.0,0.0,0.0,0.0
worst compactness,0.0,,0.0,0.0,0.0,0.0
worst concave points,0.0,,0.0,0.0,0.0,0.0
mean radius,0.0,,0.0,0.0,0.0,0.0
