,split_0,split_1,mean,std,min,max
worst radius,0.0402130558980292,0.050104553739996796,0.04515880481901299,0.0049457489209837995,0.0049457489209837995,0.050104553739996796
worst concave points,0.042222679757659774,0.03872187030845873,0.04047227503305925,0.0017504047246005225,0.0017504047246005225,0.042222679757659774
mean concavity,0.041273892622803225,0.038341373769647524,0.03980763319622538,0.0014662594265778504,0.0014662594265778504,0.041273892622803225
worst perimeter,0.038658941238127804,0.03919304467098281,0.0389259929545553,0.00026705171642750145,0.00026705171642750145,0.03919304467098281
radius error,0.04065639001960342,0.03655902406415682,0.038607707041880115,0.0020486829777232977,0.0020486829777232977,0.04065639001960342
worst concavity,0.047537478502504754,0.029314488666621882,0.03842598358456332,0.009111494917941436,0.009111494917941436,0.047537478502504754
worst texture,0.03510060276291911,0.034988146730235065,0.03504437474657709,5.62280163420234e-05,5.62280163420234e-05,0.03510060276291911
worst smoothness,0.04206791151794261,0.02541042845474226,0.03373916998634244,0.008328741531600176,0.008328741531600176,0.04206791151794261
mean texture,0.028014557448874763,0.03898830284733765,0.03350143014810621,0.005486872699231442,0.005486872699231442,0.03898830284733765
area error,0.029211380171378174,0.03665298944587598,0.03293218480862708,0.0037208046372489024,0.0037208046372489024,0.03665298944587598
worst area,0.03127483756632473,0.033567437091497475,0.0324211373289111,0.0011462997625863725,0.0011462997625863725,0.033567437091497475
perimeter error,0.035998821402030035,0.026540340541393575,0.031269580971711806,0.00472924043031823,0.00472924043031823,0.035998821402030035
mean area,0.029223667492203145,0.029817753261526022,0.029520710376864583,0.0002970428846614387,0.0002970428846614387,0.029817753261526022
mean concave points,0.030773983565576233,0.026909375603915337,0.028841679584745785,0.001932303980830448,0.001932303980830448,0.030773983565576233
worst symmetry,0.0251975402924734,0.032461413825443715,0.02882947705895856,0.003631936766485157,0.003631936766485157,0.032461413825443715
mean perimeter,0.027874639024960703,0.027364705043804304,0.0276196720343825,0.0002549669905781999,0.0002549669905781999,0.027874639024960703
mean radius,0.021465600081897258,0.02952972592250878,0.02549766300220302,0.004032062920305762,0.004032062920305762,0.02952972592250878
texture error,0.01464897243662689,0.027647514398995553,0.02114824341781122,0.006499270981184331,0.006499270981184331,0.027647514398995553
worst fractal dimension,0.022608636482113243,0.019621126982855782,0.021114881732484513,0.0014937547496287305,0.0014937547496287305,0.022608636482113243
mean fractal dimension,0.018780359390412546,0.019574023912185233,0.01917719165129889,0.0003968322608863435,0.0003968322608863435,0.019574023912185233
concave points error,0.008917601543359549,0.028912639060140004,0.01891512030174978,0.009997518758390228,0.008917601543359549,0.028912639060140004
mean symmetry,0.014843347701884545,0.021365729414452965,0.018104538558168754,0.00326119085628421,0.00326119085628421,0.021365729414452965
symmetry error,0.014345164874667303,0.013179916708192437,0.01376254079142987,0.0005826240832374329,0.0005826240832374329,0.014345164874667303
worst compactness,0.006504026721881875,0.017358608333965256,0.011931317527923566,0.00542729080604169,0.00542729080604169,0.017358608333965256
fractal dimension error,0.0104911860575079,0.012705849147329855,0.011598517602418878,0.001107331544910977,0.001107331544910977,0.012705849147329855
smoothness error,0.010277276869586356,0.012247908927472182,0.01126259289852927,0.0009853160289429131,0.0009853160289429131,0.012247908927472182
concavity error,0.006529387498445093,0.014539253533001957,0.010534320515723524,0.004004933017278432,0.004004933017278432,0.014539253533001957
mean smoothness,0.012815750989330755,0.006747929949870829,0.009781840469600792,0.003033910519729963,0.003033910519729963,0.012815750989330755
mean compactness,0.012020001124744146,0.00700754948718767,0.009513775305965907,0.0025062258187782383,0.0025062258187782383,0.012020001124744146
compactness error,0.006725535000509869,0.011140954692066843,0.008933244846288355,0.0022077098457784867,0.0022077098457784867,0.011140954692066843
